VTDID,PCTNAME,PCTCODE,MCDNAME,MCDCODE,MCDFIPS,COUNTYNAME,COUNTYCODE,COUNTYFIPS,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,TABSYSTEM,TABMODEL,REG7AM,EDR,SIGNATURES,AB,FEDONLYAB,TOTVOTING,USPRSGP,USPRSR,USPRSDFL,USPRSSEP,USPRSSWP,USPRSCFP,USPRSBL,USPRSCP,USPRSLIB,USPRSWI,USPRSTOTAL,USREPGP,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNLEGGP,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL
270210262,SUCKER LAKES,262,SUCKER LAKES,183,46825,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,10,3,8,3,0,11,0,3,8,0,0,0,0,0,0,0,11,0,0,2,9,0,11,0,1,2,8,0,11
270210265,SYLVAN TWP.,265,SYLVAN TWP,260,63958,CASS,11,021,8,04,04B,01,09,00,,2,Model 100,1267,298,1187,85,0,1273,1,747,514,0,0,0,3,1,1,0,1267,30,0,492,700,2,1224,0,0,601,611,3,1215
270210270,THUNDER LAKE TWP.,270,THUNDER LAKE TWP,265,64876,CASS,11,021,8,04,04A,03,09,00,,1,Model 315,218,19,175,31,0,206,0,115,87,0,0,0,3,0,0,0,205,6,0,72,116,0,194,0,7,104,90,0,201
270210275,TORREY TWP.,275,TORREY TWP,270,65254,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,79,4,62,6,0,68,0,40,23,0,0,0,3,2,0,0,68,0,0,30,33,0,63,0,2,32,29,0,63
270210280,TRELIPE TWP.,280,TRELIPE TWP,275,65434,CASS,11,021,8,04,04A,03,09,00,,1,Model 315,136,11,113,9,0,122,1,70,51,0,0,0,0,0,0,0,122,2,0,40,76,0,118,0,8,57,55,0,120
270210285,TURTLE LAKE TWP.,285,TURTLE LAKE TWP,280,65776,CASS,11,021,8,04,04A,04,09,00,,1,Model 315,443,100,405,49,1,455,0,251,199,0,0,1,1,0,0,0,452,7,0,170,255,3,435,0,15,211,219,2,447
270210290,WABEDO TWP.,290,WABEDO TWP,285,67414,CASS,11,021,8,04,04A,04,09,00,,2,Model 100,315,35,229,56,0,285,0,158,122,0,0,0,4,0,0,0,284,7,0,121,149,0,277,0,3,147,131,0,281
270210295,WAHNENA,295,WAHNENA,290,67595,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,83,5,67,9,0,76,0,40,36,0,0,0,0,0,0,0,76,0,0,28,46,0,74,0,3,37,36,0,76
270210300,WALDEN TWP.,300,WALDEN TWP,295,67684,CASS,11,021,8,04,04B,02,09,00,,1,Model 315,221,14,163,20,0,183,0,113,68,0,0,0,0,0,1,0,182,0,0,74,95,0,169,0,0,110,58,1,169
270210305,WALKER,305,WALKER,300,67792,CASS,11,021,8,04,04B,04,09,00,,1,Model 315,632,103,512,68,0,580,1,290,277,1,0,0,2,0,1,0,572,15,0,208,328,0,551,0,0,314,197,36,547
270210310,WILKINSON TWP.,310,WILKINSON TWP,305,70348,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,171,40,115,11,0,166,0,67,95,0,0,0,0,0,0,1,163,2,0,57,102,0,161,0,6,72,86,0,164
270210312,WILLOW RIVER,312,WILLOW RIVER,183,17495,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,22,6,25,3,0,25,0,8,17,0,0,0,0,0,0,0,25,1,0,5,19,0,25,0,2,7,16,0,25
270210315,WILSON TWP.,315,WILSON TWP,310,70654,CASS,11,021,8,04,04B,02,09,00,,1,Model 315,345,53,311,20,0,311,0,194,110,0,0,2,3,0,0,0,309,4,0,141,144,0,289,0,0,188,100,1,289
270210317,WINNIE PORTAGE LAKES,317,WINNIE PORTAGE LAKES,183,46825,CASS,11,021,8,04,04A,05,09,00,,1,Model 315,112,30,75,34,0,109,0,56,53,0,0,0,0,0,0,0,109,0,0,44,58,0,102,0,1,63,45,0,109
270210320,WOODROW TWP.,320,WOODROW TWP,315,71608,CASS,11,021,8,04,04B,03,09,00,,1,Model 315,551,82,467,88,0,555,0,272,269,0,1,0,9,0,0,0,551,9,0,206,324,0,539,0,0,306,229,2,537
270230005,BIG BEND TWP.,5,BIG BEND TWP,5,5608,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,166,22,154,13,0,167,1,39,125,0,0,0,0,0,0,0,165,0,0,21,140,0,161,0,0,28,136,0,164
270230010,CLARA CITY,10,CLARA CITY,10,11548,CHIPPEWA,12,023,7,20,20B,02,08,00,,2,Model 100,786,130,646,75,0,721,3,393,312,0,0,1,3,2,0,1,715,0,0,214,456,0,670,0,0,254,450,1,705
270230015,CRATE TWP.,15,CRATE TWP,15,13672,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,114,20,100,6,0,106,0,57,48,0,0,0,0,0,0,0,105,0,0,29,74,0,103,0,0,35,70,0,105
270230020,GRACE TWP.,20,GRACE TWP,20,24722,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,82,4,57,3,0,60,0,26,33,0,0,0,0,0,0,0,59,0,0,12,48,0,60,0,0,25,33,0,58
270230025,GRANITE FALLS W-2,25,GRANITE FALLS,25,25280,CHIPPEWA,12,023,7,20,20B,03,08,00,2,1,Optech IV,501,130,468,26,0,494,0,192,288,0,0,1,3,0,0,0,484,0,0,117,363,0,480,0,0,150,332,0,482
270230030,GRANITE FALLS TWP.,30,GRANITE FALLS TWP,30,25262,CHIPPEWA,12,023,7,20,20B,03,08,00,,1,Optech IV,138,23,133,4,0,137,1,72,60,0,0,0,2,0,0,0,135,0,0,42,92,0,134,0,0,62,73,1,136
270230035,HAVELOCK TWP.,35,HAVELOCK TWP,35,27656,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,110,11,104,7,0,111,0,36,73,1,0,0,0,0,0,0,110,0,0,21,88,0,109,0,0,20,89,0,109
270230040,KRAGERO TWP.,40,KRAGERO TWP,40,33668,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,100,8,88,9,0,97,0,30,67,0,0,0,0,0,0,0,97,0,0,9,87,0,96,0,0,24,73,0,97
270230045,LEENTHROP TWP.,45,LEENTHROP TWP,45,36278,CHIPPEWA,12,023,7,20,20B,03,08,00,,1,Optech IV,160,21,157,6,0,163,0,89,73,0,0,0,1,0,0,0,163,0,0,41,119,1,161,0,0,54,108,0,162
270230050,LONE TREE TWP.,50,LONE TREE TWP,50,37952,CHIPPEWA,12,023,7,20,20B,02,08,00,,1,Optech IV,144,24,125,2,0,127,0,84,39,0,0,1,0,0,0,0,124,0,0,50,72,0,122,0,0,49,77,0,126
270230055,LOURISTON TWP.,55,LOURISTON TWP,55,38312,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,106,11,84,7,0,91,1,46,44,0,0,0,0,0,0,0,91,0,0,26,61,2,89,0,0,37,52,0,89
270230060,MANDT TWP.,60,MANDT TWP,60,39752,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,99,12,86,5,0,91,0,25,61,0,0,0,2,0,1,0,89,0,0,8,79,0,87,0,0,9,80,0,89
270230065,MAYNARD,65,MAYNARD,65,41210,CHIPPEWA,12,023,7,20,20B,02,08,00,,1,Optech IV,210,52,208,4,0,212,0,88,111,0,0,2,3,0,1,1,206,0,0,47,158,0,205,0,0,56,154,0,210
270230070,MILAN,70,MILAN,70,42146,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,196,27,155,17,0,172,0,54,115,0,0,0,1,0,0,0,170,0,0,37,129,0,166,0,0,54,118,0,172
270230075,MONTEVIDEO P-1,75,MONTEVIDEO,75,43720,CHIPPEWA,12,023,7,20,20B,04,08,00,,2,Optech 3P,1341,244,1105,140,7,1252,3,542,683,0,0,1,10,3,2,0,1244,0,0,359,844,0,1203,0,0,486,732,1,1219
270230090,MONTEVIDEO P-2,90,MONTEVIDEO,75,43720,CHIPPEWA,12,023,7,20,20B,05,08,00,,2,Optech 3P,1408,294,1249,102,1,1352,1,586,735,0,0,2,13,1,1,4,1343,0,0,384,916,3,1303,0,0,516,802,2,1320
270230105,RHEIDERLAND TWP.,105,RHEIDERLAND TWP,80,53962,CHIPPEWA,12,023,7,20,20B,02,08,00,,1,Optech IV,177,21,154,10,0,164,0,135,24,0,0,0,0,0,0,0,159,0,0,92,67,0,159,0,0,92,69,1,162
270230110,ROSEWOOD TWP.,110,ROSEWOOD TWP,85,55870,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,205,21,178,9,0,187,0,111,69,1,0,0,2,0,0,0,183,0,0,55,121,0,176,0,0,71,109,0,180
270230115,SPARTA TWP.,115,SPARTA TWP,90,61582,CHIPPEWA,12,023,7,20,20B,03,08,00,,2,Model 100,547,53,463,41,0,504,1,219,276,0,0,3,1,0,1,0,501,0,0,138,352,0,490,0,0,198,300,0,498
270230120,STONEHAM TWP.,120,STONEHAM TWP,95,62950,CHIPPEWA,12,023,7,20,20B,02,08,00,,1,Optech IV,149,16,138,8,0,146,0,89,50,1,0,1,3,0,0,0,144,0,0,33,104,1,138,0,0,38,106,2,146
270230125,TUNSBERG TWP.,125,TUNSBERG TWP,100,65704,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,126,12,111,2,0,113,0,60,51,0,0,0,0,0,0,0,111,0,0,30,83,0,113,0,0,32,78,0,110
270230130,WATSON,130,WATSON,105,68656,CHIPPEWA,12,023,7,20,20B,01,08,00,,1,Optech IV,98,18,85,5,0,90,1,31,53,0,0,1,2,0,0,0,88,0,0,23,65,0,88,0,0,23,65,2,90
270230135,WOODS TWP.,135,WOODS TWP,110,71626,CHIPPEWA,12,023,7,20,20B,02,08,00,,1,Optech IV,121,22,114,7,0,121,0,85,34,0,0,1,0,0,0,0,120,0,0,54,61,0,115,0,0,64,54,0,118
270250005,AMADOR TWP,5,AMADOR TWP,5,1306,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,524,106,472,56,0,528,0,309,213,0,0,2,2,1,0,0,527,8,0,221,282,0,511,0,21,293,197,1,512
270250015,CENTER CITY,15,CENTER CITY,15,10576,CHISAGO,13,025,8,17,17B,03,10,00,,2,Optech 3P,397,69,320,32,0,352,1,165,180,0,0,0,1,0,0,0,347,11,0,116,206,3,336,0,7,172,158,0,337
270250020,CHISAGO CITY,20,CHISAGO CITY,20,11350,CHISAGO,13,025,8,17,17B,03,10,00,,2,Optech 3P,1945,429,1582,208,0,1790,1,966,792,0,0,1,11,3,0,0,1774,38,0,670,968,1,1677,0,39,907,739,2,1687
270250025,CHISAGO LAKE TWP (N),25,CHISAGO LAKE TWP,25,11368,CHISAGO,13,025,8,17,17B,01,10,00,,2,Optech 3P,1485,255,1295,104,0,1399,1,775,600,0,0,0,7,2,2,1,1388,35,0,567,723,3,1328,0,33,809,503,0,1345
270250030,CHISAGO LAKE TWP (S),30,CHISAGO LAKE TWP,25,11368,CHISAGO,13,025,8,17,17B,03,10,00,,2,Optech 3P,1455,270,1297,73,0,1370,2,760,594,0,0,0,3,3,1,0,1363,35,0,545,711,1,1292,0,41,739,526,1,1307
270250035,FISH LAKE TWP,35,FISH LAKE TWP,30,21194,CHISAGO,13,025,8,17,17A,05,10,00,,2,Optech 3P,1125,260,1067,45,0,1112,3,610,472,0,0,2,10,2,3,0,1102,27,0,420,614,0,1061,0,0,532,529,2,1063
270250040,FRANCONIA TWP,40,FRANCONIA TWP,35,22310,CHISAGO,13,025,8,17,17B,01,10,00,,2,Optech 3P,996,163,906,49,0,955,0,504,430,0,0,2,9,3,2,2,952,22,0,366,513,1,902,0,19,517,382,0,918
270250045,HARRIS P-A,45,HARRIS,40,27278,CHISAGO,13,025,8,17,17A,05,10,00,,2,Optech 3P,559,138,545,21,0,566,1,316,240,0,0,0,2,1,1,0,561,12,0,209,314,1,536,0,0,266,268,0,534
270250047,HARRIS P-B,47,HARRIS,40,27278,CHISAGO,13,025,8,17,17B,05,10,00,,2,Optech 3P,119,23,102,1,0,103,0,58,41,0,0,0,1,0,1,0,101,4,0,30,60,1,95,0,8,39,44,0,91
270250050,LENT TWP,50,LENT TWP,45,36440,CHISAGO,13,025,8,17,17B,01,10,00,,2,Optech 3P,1836,351,1724,62,0,1787,3,1094,657,0,0,3,9,2,2,1,1771,22,0,803,858,1,1684,0,51,952,650,5,1658
270250055,LINDSTROM,55,LINDSTROM,50,37304,CHISAGO,13,025,8,17,17B,03,10,00,,2,Optech 3P,2494,668,2260,200,0,2462,5,1274,1108,0,0,0,10,1,1,0,2399,56,0,939,1295,1,2291,0,56,1266,1002,1,2325
270250060,NESSEL TWP,60,NESSEL TWP,55,45250,CHISAGO,13,025,8,17,17A,05,10,00,,2,Optech 3P,1190,234,1102,67,0,1169,2,623,529,0,0,2,5,0,0,1,1162,16,0,421,681,1,1119,0,0,555,562,2,1119
270250065,NORTH BRANCH P-N,65,NORTH BRANCH,60,46798,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,2129,522,1957,87,0,2044,3,1119,882,0,0,2,12,7,5,1,2031,33,0,804,1121,2,1960,0,64,957,932,2,1955
270250066,NORTH BRANCH P-S,66,NORTH BRANCH,60,46798,CHISAGO,13,025,8,17,17B,01,10,00,,2,Optech 3P,2864,901,2746,156,1,2905,2,1624,1218,1,0,3,24,4,7,0,2883,60,0,1147,1504,2,2713,0,80,1323,1288,4,2695
270250070,RUSH CITY,70,RUSH CITY,65,56266,CHISAGO,13,025,8,17,17B,05,10,00,,2,Optech 3P,914,309,848,39,0,887,4,431,435,0,1,2,7,1,0,0,881,32,0,247,563,1,843,0,30,340,462,3,835
270250075,RUSHSEBA TWP,75,RUSHSEBA TWP,70,56392,CHISAGO,13,025,8,17,17B,05,10,00,,2,Optech 3P,497,99,436,15,0,451,0,255,186,0,0,0,1,0,3,1,446,10,0,150,262,0,422,0,26,212,182,0,420
270250080,SHAFER,80,SHAFER,74,59314,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,265,177,351,7,0,358,0,192,161,0,0,1,1,0,1,0,356,3,0,133,198,0,334,0,16,173,148,0,337
270250085,SHAFER TWP,85,SHAFER TWP,75,59332,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,616,102,566,33,0,601,1,314,273,0,0,5,4,1,1,0,599,13,0,233,339,1,586,0,20,328,238,1,587
270250090,STACY,90,STACY,85,62320,CHISAGO,13,025,8,17,17B,04,10,00,,2,Optech 3P,643,183,601,14,0,615,0,341,258,0,0,1,6,3,1,0,610,15,0,233,328,1,577,0,37,259,280,0,576
270250095,SUNRISE TWP,95,SUNRISE TWP,90,63616,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,1098,246,1036,62,1,1101,2,603,478,1,0,0,6,1,4,0,1095,24,0,396,636,1,1057,0,39,511,496,3,1049
270250100,TAYLORS FALLS,100,TAYLORS FALLS,95,64318,CHISAGO,13,025,8,17,17B,02,10,00,,2,Optech 3P,586,119,522,26,0,548,0,247,290,0,0,2,4,1,0,1,545,12,0,187,314,2,515,0,12,260,249,1,522
270250105,WYOMING,105,WYOMING,105,72022,CHISAGO,13,025,8,17,17B,04,10,00,,2,Optech 3P,2214,528,2127,79,0,2206,3,1258,915,0,0,1,10,2,6,0,2195,34,0,934,1105,0,2073,0,83,1035,958,1,2077
270250110,WYOMING TWP,110,WYOMING TWP,106,72040,CHISAGO,13,025,8,17,17B,04,10,00,,2,Optech 3P,3390,577,3011,177,0,3188,5,1867,1267,1,0,1,21,3,4,3,3172,70,0,1368,1565,9,3012,0,112,1609,1277,4,3002
270270005,ALLIANCE TWP.,5,ALLIANCE TWP,5,1054,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,151,18,146,10,0,156,1,79,73,1,0,0,1,0,0,0,155,0,0,23,129,0,152,0,0,29,125,0,154
270270010,BARNESVILLE CITY W-1,10,BARNESVILLE CITY,10,3574,CLAY,14,027,7,09,09B,03,07,00,1,2,Optech 3P,410,94,369,22,0,391,1,209,176,0,0,0,1,1,0,0,388,0,0,85,297,1,383,0,0,70,316,0,386
270270015,BARNESVILLE CITY W-2,15,BARNESVILLE CITY,10,3574,CLAY,14,027,7,09,09B,03,07,00,2,2,Optech 3P,359,67,323,14,0,337,1,173,160,0,0,0,2,0,0,0,336,0,0,50,267,2,319,0,0,33,295,0,328
270270020,BARNESVILLE CITY W-3,20,BARNESVILLE CITY,10,3574,CLAY,14,027,7,09,09B,03,07,00,3,2,Optech 3P,416,122,410,38,1,449,0,262,182,0,0,0,1,0,2,0,447,0,0,103,333,1,437,0,0,90,352,2,444
270270025,BARNESVILLE TWP.,25,BARNESVILLE TWP,15,3592,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,89,18,85,6,0,91,0,49,40,0,0,0,1,0,0,0,90,0,0,16,73,0,89,0,0,12,76,0,88
270270030,COMSTOCK,30,COMSTOCK,20,12862,CLAY,14,027,7,09,09B,03,07,00,,2,Optech 3P,69,6,54,3,0,57,0,26,30,0,0,0,1,0,0,0,57,0,0,9,45,0,54,0,0,4,51,0,55
270270035,CROMWELL TWP.,35,CROMWELL TWP,25,13798,CLAY,14,027,7,09,09B,02,07,00,,1,Optech IV,192,25,179,7,0,186,0,101,84,0,0,0,1,0,0,0,186,0,0,43,136,2,181,0,0,40,145,0,185
270270040,DILWORTH,40,DILWORTH,30,15976,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,1629,490,1560,92,0,1652,4,823,803,1,0,0,15,0,2,1,1649,0,0,354,1225,0,1579,0,0,227,1397,3,1627
270270045,EGLON TWP.,45,EGLON TWP,35,18314,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,264,41,257,15,0,272,2,156,110,0,0,0,2,0,1,0,271,0,0,73,190,0,263,0,0,71,199,0,270
270270050,ELKTON TWP.,50,ELKTON TWP,40,18710,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,199,23,171,9,0,180,0,76,100,0,0,0,2,0,0,0,178,0,0,36,136,0,172,0,0,29,148,2,179
270270055,ELMWOOD TWP.,55,ELMWOOD TWP,45,19052,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,248,42,234,8,0,242,2,139,98,0,0,1,1,0,0,0,241,0,0,57,177,0,234,0,0,54,183,0,237
270270060,FELTON,60,FELTON,49,20834,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,120,13,105,5,0,110,0,65,43,0,0,0,0,0,0,0,108,0,0,29,76,0,105,2,0,58,46,0,106
270270065,FELTON TWP.,65,FELTON TWP,50,20852,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,60,6,56,0,0,57,0,36,20,0,0,0,1,0,0,0,57,0,0,20,35,0,55,1,0,34,20,0,55
270270070,FLOWING TWP.,70,FLOWING TWP,60,21482,CLAY,14,027,7,09,09A,02,07,00,,2,Optech 3P,62,7,47,6,0,53,0,23,30,0,0,0,0,0,0,0,53,0,0,9,44,0,53,0,0,27,23,0,50
270270075,GEORGETOWN,75,GEORGETOWN,64,23498,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,62,17,60,2,0,62,0,34,26,0,0,0,0,0,1,0,61,0,0,16,44,0,60,3,0,35,23,0,61
270270080,GEORGETOWN TWP.,80,GEORGETOWN TWP,65,23516,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,99,22,85,6,0,91,0,55,32,0,0,0,3,0,0,0,90,0,0,22,65,0,87,1,0,56,32,0,89
270270085,GLYNDON,85,GLYNDON,74,24182,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,573,172,553,22,0,575,0,308,257,0,0,1,5,0,1,1,573,0,0,122,425,0,547,0,0,89,470,0,559
270270090,GLYNDON TWP.,90,GLYNDON TWP,75,24200,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,186,25,163,12,0,175,0,112,63,0,0,0,0,0,0,0,175,0,0,42,128,0,170,0,0,39,135,0,174
270270095,GOOSE PRAIRIE TWP.,95,GOOSE PRAIRIE TWP,85,24542,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,118,17,104,11,0,115,2,64,48,0,0,0,0,0,0,0,114,0,0,22,91,0,113,0,0,32,82,0,114
270270100,HAGEN TWP.,100,HAGEN TWP,90,26504,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,95,13,90,4,0,94,0,53,41,0,0,0,0,0,0,0,94,0,0,27,62,0,89,4,0,52,31,0,87
270270105,HAWLEY,105,HAWLEY,94,27746,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,1035,220,989,44,0,1033,2,534,478,0,0,2,7,3,3,0,1029,0,0,211,765,1,977,0,0,184,826,1,1011
270270110,HAWLEY TWP.,110,HAWLEY TWP,95,27764,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,263,39,232,15,0,248,0,123,123,0,0,0,0,0,1,0,247,0,0,60,179,0,239,0,0,45,199,0,244
270270115,HIGHLAND GROVE TWP.,115,HIGHLAND GROVE TWP,105,28988,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,163,31,156,9,0,165,0,80,80,0,0,0,2,0,0,1,163,0,0,43,115,0,158,0,0,35,126,0,161
270270120,HITTERDAL,120,HITTERDAL,110,29402,CLAY,14,027,7,09,09B,02,07,00,,2,Optech 3P,131,25,123,6,0,129,1,58,69,0,0,0,1,0,0,0,129,0,0,27,99,0,126,0,0,26,102,0,128
270270125,HOLY CROSS TWP.,125,HOLY CROSS TWP,115,29906,CLAY,14,027,7,09,09B,03,07,00,,2,Optech 3P,83,19,87,3,0,90,0,63,26,0,0,0,0,1,0,0,90,0,0,28,61,0,89,0,0,30,59,0,89
270270130,HUMBOLDT TWP.,130,HUMBOLDT TWP,120,30428,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,135,20,133,5,0,138,0,68,68,0,0,0,0,1,0,0,137,0,0,38,96,0,134,0,0,27,106,0,133
270270135,KEENE TWP.,135,KEENE TWP,125,32552,CLAY,14,027,7,09,09B,02,07,00,,1,Optech IV,69,12,68,1,0,69,0,27,39,0,0,1,2,0,0,0,69,0,0,6,61,0,67,0,0,9,59,0,68
270270140,KRAGNES TWP.,140,KRAGNES TWP,130,33704,CLAY,14,027,7,09,09A,04,07,00,,1,Optech IV,199,15,161,20,0,181,0,120,56,0,0,0,1,2,1,0,180,0,0,69,108,0,177,4,0,115,58,1,178
270270145,KURTZ TWP.,145,KURTZ TWP,135,33812,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,196,22,177,14,0,191,0,105,83,0,0,0,3,0,0,0,191,0,0,42,145,0,187,0,0,55,128,0,183
270270150,MOLAND TWP.,150,MOLAND TWP,140,43576,CLAY,14,027,7,09,09A,02,07,00,,1,Optech IV,193,37,180,11,0,191,1,133,54,0,0,0,1,0,0,0,189,0,0,48,142,0,190,2,0,133,54,0,189
270270155,MOORHEAD CITY W-1 P-1,155,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,04,07,00,1,2,Optech 3P,1513,306,1300,98,0,1398,5,721,657,0,1,1,7,0,4,0,1396,0,0,373,961,1,1335,43,0,743,579,2,1367
270270160,MOORHEAD CITY W-1 P-2,160,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,04,07,00,1,2,Optech 3P,1156,317,1180,118,0,1183,5,569,592,0,0,2,6,3,0,2,1179,0,0,285,851,3,1139,33,0,605,515,0,1153
270270165,MOORHEAD CITY W-1 P-3,165,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,04,07,00,1,2,Optech 3P,1149,275,939,98,1,1038,7,445,564,0,0,0,12,0,1,2,1031,0,0,229,738,2,969,44,0,497,448,2,991
270270170,MOORHEAD CITY W-2 P-1,170,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,01,07,00,2,2,Optech 3P,1507,402,1226,66,0,1292,5,474,794,0,0,0,15,2,0,3,1293,0,0,291,893,6,1190,66,0,524,647,0,1237
270270175,MOORHEAD CITY W-2 P-2,175,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,01,07,00,2,2,Optech 3P,1827,625,1550,63,0,1613,3,742,846,1,0,2,10,2,2,2,1610,0,0,392,987,5,1384,49,0,659,686,2,1396
270270180,MOORHEAD CITY W-2 P-3,180,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,01,07,00,2,2,Optech 3P,1545,426,1381,82,0,1463,7,720,715,0,0,1,12,2,3,0,1460,0,0,353,1037,0,1390,53,0,725,643,0,1421
270270185,MOORHEAD CITY W-3 P-1,185,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,05,07,00,3,2,Optech 3P,1619,281,1333,141,0,1474,3,713,725,0,1,2,12,1,7,2,1466,0,0,360,1042,5,1407,51,0,754,646,1,1452
270270190,MOORHEAD CITY W-3 P-2,190,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,05,07,00,3,2,Optech 3P,1397,509,1147,109,0,1257,1,602,641,0,0,0,9,0,0,0,1253,0,0,362,709,3,1074,28,0,648,459,1,1136
270270195,MOORHEAD CITY W-3 P-3,195,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,05,07,00,3,2,Optech 3P,2071,394,1821,196,1,2018,4,1232,757,0,0,0,13,0,5,2,2013,0,0,622,1327,5,1954,30,0,1300,650,1,1981
270270200,MOORHEAD CITY W-4 P-1,200,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,01,07,00,4,2,Optech 3P,1704,417,1522,126,0,1648,4,885,730,1,0,1,14,2,2,0,1639,0,0,452,1129,4,1585,34,0,944,630,0,1608
270270205,MOORHEAD CITY W-4 P-2,205,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,05,07,00,4,2,Optech 3P,1147,576,1191,87,0,1278,1,640,618,0,0,1,9,1,4,1,1275,0,0,327,867,6,1200,34,0,666,507,2,1209
270270210,MOORHEAD CITY W-4 P-3,210,MOORHEAD CITY,145,43864,CLAY,14,027,7,09,09A,03,07,00,4,2,Optech 3P,1504,276,1279,123,0,1402,1,772,615,0,0,1,9,1,2,0,1401,0,0,393,952,4,1349,19,0,832,520,0,1371
270270215,MOORHEAD TWP.,215,MOORHEAD TWP,150,43882,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,251,38,212,30,0,242,1,136,98,0,0,0,3,0,0,0,238,0,0,70,164,0,234,0,0,71,163,0,234
270270220,MORKEN TWP.,220,MORKEN TWP,155,44170,CLAY,14,027,7,09,09A,02,07,00,,2,Optech 3P,117,17,99,17,0,116,0,64,49,0,0,0,1,0,0,0,114,0,0,26,88,0,114,2,0,63,47,0,112
270270225,OAKPORT TWP.,225,OAKPORT TWP,160,47932,CLAY,14,027,7,09,09A,04,07,00,,2,Optech 3P,1127,159,999,73,0,1072,1,616,445,0,0,0,3,2,0,2,1069,0,0,307,725,0,1032,18,0,625,407,0,1050
270270230,PARKE TWP.,230,PARKE TWP,165,49678,CLAY,14,027,7,09,09B,03,07,00,,2,Optech 3P,266,69,267,27,0,294,0,180,112,0,0,0,0,0,1,0,293,0,0,86,199,0,285,0,0,88,200,0,288
270270235,RIVERTON TWP.,235,RIVERTON TWP,170,54718,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,256,68,246,15,0,261,0,144,109,0,0,0,2,3,1,0,259,0,0,66,188,0,254,0,0,46,211,0,257
270270240,SABIN,240,SABIN,175,56554,CLAY,14,027,7,09,09B,03,07,00,,1,Optech IV,242,50,214,12,0,226,0,138,82,0,0,1,3,0,0,1,225,0,0,60,157,0,217,0,0,56,169,0,225
