VTDID,PCTNAME,PCTCODE,MCDNAME,MCDCODE,MCDFIPS,COUNTYNAME,COUNTYCODE,COUNTYFIPS,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,TABSYSTEM,TABMODEL,REG7AM,EDR,SIGNATURES,AB,FEDONLYAB,TOTVOTING,USPRSGP,USPRSR,USPRSDFL,USPRSSEP,USPRSSWP,USPRSCFP,USPRSBL,USPRSCP,USPRSLIB,USPRSWI,USPRSTOTAL,USREPGP,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNLEGGP,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL
270010110,LOGAN TWP.,110,LOGAN TWP,105,37844,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,120,19,94,4,0,98,0,42,53,0,0,0,1,0,0,0,96,1,0,25,67,0,93,0,0,37,59,0,96
270010115,MCGRATH,115,MCGRATH,110,38996,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,41,9,41,2,0,43,2,23,16,0,0,1,1,0,0,0,43,1,0,12,27,0,40,0,0,16,21,0,37
270010120,MCGREGOR,120,MCGREGOR,114,39014,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,197,54,183,7,0,190,0,85,100,0,0,0,1,0,0,0,186,7,0,53,115,0,175,0,0,70,108,0,178
270010125,MCGREGOR TWP.,125,MCGREGOR TWP,115,39032,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,69,7,48,7,0,55,0,31,24,0,0,0,0,0,0,0,55,0,0,19,33,0,52,0,0,20,29,0,49
270010130,MACVILLE TWP.,130,MACVILLE TWP,125,39212,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,132,7,88,5,0,93,0,43,49,0,0,0,1,0,0,0,93,8,0,22,55,0,85,0,0,34,53,0,87
270010132,MILLWARD TWP.,132,MILLWARD TWP,132,42300,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,30,1,25,0,0,25,0,12,13,0,0,0,0,0,0,0,25,0,0,10,15,0,25,0,0,12,13,0,25
270010135,MALMO TWP.,135,MALMO TWP,130,39590,AITKIN,1,001,8,03,03B,02,09,00,,3,Not Appli,201,51,204,14,0,218,0,103,107,0,0,0,2,1,0,0,213,2,0,69,130,0,201,0,0,94,107,0,201
270010140,MORRISON TWP.,140,MORRISON TWP,135,44278,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,111,17,104,6,0,110,0,74,31,0,0,1,3,1,0,0,110,2,0,49,51,0,102,0,0,60,45,1,106
270010145,NORDLAND TWP.,145,NORDLAND TWP,140,46546,AITKIN,1,001,8,03,03B,02,09,00,,2,Model 100,627,89,540,83,0,623,0,326,285,0,0,1,4,1,0,1,618,10,0,239,345,0,594,0,0,298,304,0,602
270010150,PALISADE,150,PALISADE,145,49498,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,93,23,87,13,0,100,0,36,63,0,0,0,0,0,0,0,99,0,0,19,73,0,92,0,0,29,66,0,95
270010155,PLINY TWP.,155,PLINY TWP,150,51694,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,67,7,55,3,0,58,0,41,17,0,0,0,0,0,0,0,58,0,0,32,24,0,56,0,0,36,17,0,53
270010160,RICE RIVER TWP.,160,RICE RIVER TWP,155,54106,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,97,11,86,3,3,92,0,50,38,0,0,0,2,0,0,0,90,5,0,29,51,0,85,0,0,43,45,0,88
270010165,SALO TWP.,165,SALO TWP,160,58270,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,58,8,51,4,0,55,0,20,34,0,0,0,1,0,0,0,55,0,0,17,35,0,52,0,0,18,31,0,49
270010170,SEAVEY TWP.,170,SEAVEY TWP,165,59134,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,47,2,37,3,0,40,0,22,16,0,0,0,1,0,0,0,39,1,0,16,22,0,39,0,0,20,18,0,38
270010175,SHAMROCK TWP.,175,SHAMROCK TWP,170,59368,AITKIN,1,001,8,03,03B,04,09,00,,2,Model 100,822,116,668,116,0,784,0,389,390,0,0,0,3,0,0,1,783,14,0,267,465,0,746,0,0,339,408,2,749
270010180,SPALDING TWP.,180,SPALDING TWP,175,61546,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,127,44,126,1,0,127,0,35,87,0,2,0,2,0,0,0,126,1,0,22,94,0,117,0,0,32,80,0,112
270010185,SPENCER TWP.,185,SPENCER TWP,180,61654,AITKIN,1,001,8,03,03B,01,09,00,,2,Model 100,301,63,300,24,0,324,1,184,134,0,0,0,2,0,0,2,323,8,0,110,180,2,300,0,0,163,141,1,305
270010190,TAMARACK,190,TAMARACK,185,64156,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,42,9,42,0,0,42,0,13,26,0,0,0,1,1,0,0,41,1,0,10,29,0,40,0,0,13,29,0,42
270010195,TURNER TWP.,195,TURNER TWP,190,65722,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,125,14,103,12,0,115,0,47,65,0,0,0,0,0,0,0,112,0,0,40,66,0,106,0,0,48,59,0,107
270010200,VERDON TWP.,200,VERDON TWP,195,66748,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,37,4,29,3,0,32,1,14,17,0,0,0,0,0,0,0,32,1,0,10,18,0,29,0,0,12,15,0,27
270010205,WAGNER TWP.,205,WAGNER TWP,200,67540,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,216,28,183,22,5,210,0,91,106,0,0,0,2,3,1,5,208,2,0,60,132,0,194,0,0,86,105,0,191
270010210,WAUKENABO TWP.,210,WAUKENABO TWP,205,68692,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,223,34,196,22,0,218,1,118,93,0,0,1,2,1,0,1,217,5,0,85,117,0,207,0,0,109,98,0,207
270010215,WEALTHWOOD TWP.,215,WEALTHWOOD TWP,210,68872,AITKIN,1,001,8,03,03B,02,09,00,,3,Not Appli,206,24,176,23,0,199,0,77,118,0,0,0,1,0,1,0,197,3,0,65,121,0,189,0,0,76,117,0,193
270010220,WHITE PINE TWP.,220,WHITE PINE TWP,215,70132,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,23,4,17,0,0,17,0,9,8,0,0,0,0,0,0,0,17,1,0,4,11,0,16,0,0,5,10,0,15
270010225,WILLIAMS TWP.,225,WILLIAMS TWP,220,70384,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,78,12,71,4,0,75,0,34,35,0,0,1,2,2,0,0,74,2,0,23,44,0,69,0,0,28,42,0,70
270010230,WORKMAN TWP.,230,WORKMAN TWP,225,71716,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,128,14,104,17,0,121,1,55,59,0,0,1,2,0,0,0,118,2,0,31,82,0,115,0,0,48,70,0,118
270010240,NE AITKIN UNORG.,240,NE AITKIN UNORG. 52-24,142,46890,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,18,3,19,0,0,19,0,14,5,0,0,0,0,0,0,0,19,0,0,10,9,0,19,0,0,12,7,0,19
