FIPS_VTD,PRECINCT NAME,WD,CG,LEG,CM,S DST,S1,S2,C,V,MCD NAME        ,JD,TC,ME,MCD,PRCT,CC,COVTD,7am ,EDR,Signatures,AB-Reg,AB-Fed,AB-Pres,Ballots,PresR,PresDFL,PresG,PresCP,PresOther,PresLib,PresRP,PresRPM,PresSWP,USSenR,USSenDFL,USSenInd,USSenOther,USSenCP,USSenSWP,USSenLib,USSenGRP,CONG_DIST,CongR,CongDFL,CongInd,CongOther,CongCP,CongLib,MNSenR,MNSenDFL,MNSenInd,MNSenCP,MNSenNP,MNLegR,MNLegDFL,MNLegInd,MNLegCP,MNLegLib,MNLegG
0550055,FENTON TWP.            ,0,2,22A,3,50500,0,0,N,O,FENTON TOWNSHIP               ,5,T,N,055,0055,51,510055,121,6,98,5,0,0,103,69,32,0,0,0,0,0,0,0,63,32,5,0,0,0,0,0,2,47,51,4,0,0,0,44,57,0,0,0,52,51,0,0,0,0
0600060,FULDA                  ,0,2,22A,5,50500,0,0,N,O,FULDA CITY                    ,5,C,N,060,0060,51,510060,752,75,609,47,0,0,656,291,313,23,1,12,2,1,8,1,278,327,26,14,4,2,0,8,2,263,351,19,4,2,2,168,470,0,0,0,209,440,0,0,0,0
0650065,HADLEY                 ,0,2,22A,3,16900,0,0,N,O,HADLEY CITY                   ,5,C,N,065,0065,51,510065,54,1,45,0,0,0,45,9,33,2,0,1,0,0,1,0,9,31,2,1,0,0,0,1,2,10,31,1,1,0,1,7,37,0,0,0,14,31,0,0,0,0
0700070,HOLLY TWP.             ,0,2,22A,1,64100,0,0,N,O,HOLLY TOWNSHIP                ,5,T,N,070,0070,51,510070,83,17,67,5,0,0,72,31,34,6,0,1,1,0,0,0,28,42,1,1,1,0,0,0,2,31,40,0,0,0,0,19,53,0,0,0,36,36,0,0,0,0
0740075,IONA                   ,0,2,22A,3,16900,0,0,N,O,IONA CITY                     ,5,C,N,074,0075,51,510075,95,11,80,2,0,0,82,37,37,4,1,2,0,0,2,0,32,40,2,3,0,2,1,0,2,35,41,6,0,0,0,23,58,0,0,0,33,49,0,0,0,0
0750080,IONA TWP.              ,0,2,22A,3,16900,0,0,N,O,IONA TOWNSHIP                 ,5,T,N,075,0080,51,510080,110,8,78,5,0,0,83,30,39,10,0,2,0,0,2,0,26,47,6,2,2,0,0,0,2,29,50,1,1,1,0,17,64,0,0,0,26,56,0,0,0,0
0850085,LAKE SARAH TWP.        ,0,2,22A,2,41700,0,0,N,O,LAKE SARAH TOWNSHIP           ,5,T,N,085,0085,51,510085,234,30,178,22,0,0,200,98,85,10,0,6,0,0,6,0,98,90,8,2,0,0,1,1,2,104,84,7,4,1,3,66,133,0,0,0,108,88,0,0,0,0
0900090,LAKE WILSON            ,0,2,21B,2,16900,0,0,N,O,LAKE WILSON CITY              ,5,C,N,090,0090,51,510090,165,23,148,6,0,0,154,72,72,5,0,1,0,0,0,1,58,72,12,3,2,1,0,0,2,59,80,9,0,0,0,34,43,74,0,0,82,58,0,0,0,0
0950095,LEEDS TWP.             ,0,2,22A,3,16900,0,0,N,O,LEEDS TOWNSHIP                ,5,T,N,095,0095,51,510095,126,16,109,2,0,0,111,75,33,2,0,0,0,0,0,0,66,33,2,6,1,4,0,1,2,62,43,3,1,0,1,41,66,0,0,0,73,37,0,0,0,0
1000100,LIME LAKE TWP.         ,0,2,22A,1,50500,0,0,N,O,LIME LAKE TOWNSHIP            ,5,T,N,100,0100,51,510100,137,13,110,7,0,0,117,55,54,5,0,3,0,0,3,0,56,53,1,5,1,1,0,3,2,56,59,1,0,0,0,29,86,0,0,0,50,66,0,0,0,0
1050105,LOWVILLE TWP.          ,0,2,22A,2,41100,0,0,N,O,LOWVILLE TOWNSHIP             ,5,T,N,105,0105,51,510105,119,6,96,6,0,0,102,66,33,1,0,2,0,0,2,0,52,40,6,1,1,0,0,0,2,53,43,2,0,0,0,35,65,0,0,0,56,42,0,0,0,0
1100110,MASON TWP.             ,0,2,22A,2,41700,0,0,N,O,MASON TOWNSHIP                ,5,T,N,110,0110,51,510110,197,19,154,12,0,0,166,75,79,6,1,4,0,0,4,0,77,76,4,6,3,2,0,1,2,69,87,4,5,3,2,42,122,0,0,0,83,79,0,0,0,0
1150115,MOULTON TWP.           ,0,2,21B,3,58100,0,0,N,O,MOULTON TOWNSHIP              ,5,T,N,115,0115,51,510115,143,10,120,0,0,0,120,103,13,1,0,2,0,0,2,0,102,16,2,0,0,0,0,0,2,89,24,6,0,0,0,73,20,27,0,0,100,18,0,0,0,0
1200120,MURRAY TWP.            ,0,2,22A,1,17500,0,0,N,O,MURRAY TOWNSHIP               ,5,T,N,120,0120,51,510120,130,10,112,5,0,0,117,61,52,0,0,4,0,0,3,1,56,53,6,2,1,1,0,0,2,63,51,1,0,0,0,34,82,0,0,0,57,58,0,0,0,0
1250125,SHETEK TWP.            ,0,2,22A,1,41700,0,0,N,O,SHETEK TOWNSHIP               ,5,T,N,125,0125,51,510125,198,17,164,16,0,0,180,84,84,8,0,3,0,0,3,0,66,105,9,0,0,0,0,0,2,72,96,10,0,0,0,35,144,0,0,0,97,80,0,0,0,0
1300130,SKANDIA TWP.           ,0,2,22A,2,41100,0,0,N,O,SKANDIA TOWNSHIP              ,5,T,N,130,0130,51,510130,105,8,79,5,0,0,84,37,40,5,0,2,0,0,2,0,31,41,5,6,3,0,0,3,2,32,46,3,2,1,1,21,62,0,0,0,36,48,0,0,0,0
1340135,SLAYTON                ,0,2,22A,4,16900,0,0,Y,O,SLAYTON CITY                  ,5,C,N,134,0135,51,510135,1337,124,986,119,0,0,1105,494,546,26,2,17,2,1,13,1,471,555,34,24,11,7,2,4,2,476,567,30,8,3,5,315,766,0,0,0,472,617,0,0,0,0
1350140,SLAYTON TWP.           ,0,2,22A,3,16900,0,0,Y,O,SLAYTON TOWNSHIP              ,5,T,N,135,0140,51,510140,196,29,184,9,0,0,193,105,80,4,0,3,0,0,2,1,90,91,6,4,1,1,0,2,2,85,102,3,1,0,1,57,132,0,0,0,89,102,0,0,0,0
0050005,BELGRADE TOWNSHIP      ,0,1,24B,3,50700,0,0,N,O,BELGRADE TOWNSHIP             ,5,T,N,005,0005,52,520005,656,100,553,35,0,0,588,324,231,23,1,8,1,0,6,1,312,234,23,11,2,3,2,4,1,352,209,0,14,0,14,275,293,0,0,0,315,254,0,0,0,0
0100010,BERNADOTTE TOWNSHIP    ,0,2,23B,4,36500,0,0,N,O,BERNADOTTE TOWNSHIP           ,5,T,N,010,0010,52,520010,198,20,183,7,0,0,190,100,74,10,0,2,0,0,2,0,102,78,6,3,2,0,0,1,2,73,105,7,2,0,2,101,86,0,0,0,116,62,11,0,0,0
0150015,BRIGHTON TOWNSHIP      ,0,2,23B,4,50700,0,0,N,O,BRIGHTON TOWNSHIP             ,5,T,N,015,0015,52,520015,89,10,83,2,0,0,85,51,24,3,0,6,0,0,6,0,46,30,8,1,1,0,0,0,2,43,41,1,0,0,0,56,28,0,0,0,63,19,3,0,0,0
0190020,CITY OF COURTLAND      ,0,2,23B,4,50700,0,0,N,O,COURTLAND CITY                ,5,C,N,019,0020,52,520020,315,31,258,8,0,0,266,156,91,9,2,7,1,0,6,0,139,111,9,4,0,2,1,1,2,123,129,8,4,1,3,167,94,0,0,0,178,74,9,0,0,0
0200025,COURTLAND TOWNSHIP     ,0,2,23B,4,50700,0,0,N,O,COURTLAND TOWNSHIP            ,5,T,N,020,0025,52,520025,389,43,317,25,0,0,342,210,109,13,0,7,0,0,7,0,188,117,21,14,4,1,1,8,2,192,131,6,7,4,3,236,95,0,0,0,221,90,16,0,0,0
0300030,GRANBY TOWNSHIP        ,0,2,23B,2,50700,0,0,N,O,GRANBY TOWNSHIP               ,5,T,N,030,0030,52,520030,181,13,126,13,0,0,139,90,41,4,0,3,0,0,3,0,86,46,5,2,2,0,0,0,2,79,52,4,2,2,0,89,43,0,0,0,101,35,1,0,0,0
0340035,CITY OF LAFAYETTE      ,0,2,23B,4,8800,0,0,N,O,LAFAYETTE CITY                ,5,C,N,034,0035,52,520035,317,35,254,13,0,0,267,129,114,9,1,9,0,0,9,0,125,113,15,9,2,4,1,2,2,123,126,5,4,2,2,159,99,0,0,0,154,86,13,0,0,0
0350040,LAFAYETTE TOWNSHIP     ,0,2,23B,4,36500,0,0,N,O,LAFAYETTE TOWNSHIP            ,5,T,N,035,0040,52,520040,447,64,358,23,0,0,381,205,145,10,0,14,1,1,11,1,212,138,21,7,3,1,0,3,2,188,178,5,2,1,1,240,131,0,0,0,228,132,14,0,0,0
0450045,LAKE PRAIRIE TOWNSHIP  ,0,2,23B,4,50800,0,0,N,O,LAKE PRAIRIE TOWNSHIP         ,5,T,N,045,0045,52,520045,435,43,360,22,0,0,382,206,148,19,0,5,0,0,5,0,191,162,19,9,3,2,2,2,2,169,189,18,3,0,3,222,145,0,0,0,213,151,11,0,0,0
0470050,MANKATO W-2 P-30       ,0,1,24A,5,7700,0,0,N,O,MANKATO CITY                  ,5,C,N,047,0050,52,520050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500055,NEW SWEDEN TOWNSHIP    ,0,2,23B,4,31000,0,0,N,O,NEW SWEDEN TOWNSHIP           ,5,T,N,050,0055,52,520055,181,21,167,8,0,0,175,96,69,6,0,3,0,0,3,0,94,71,8,2,1,1,0,0,2,81,85,4,0,0,0,94,76,0,0,0,101,68,5,0,0,0
0540060,CITY OF NICOLLET       ,0,2,23B,2,50700,0,0,N,O,NICOLLET CITY                 ,5,C,N,054,0060,52,520060,504,64,403,15,0,0,418,271,134,9,0,1,0,0,1,0,249,139,15,7,3,0,1,3,2,231,157,18,4,3,1,281,124,0,0,0,303,92,16,0,0,0
0550065,NICOLLET TOWNSHIP      ,0,2,23B,4,50700,0,0,N,O,NICOLLET TOWNSHIP             ,5,T,N,055,0065,52,520065,349,25,271,9,0,0,280,177,77,15,0,8,0,0,8,0,181,74,19,4,3,1,0,0,2,137,131,3,2,2,0,176,89,0,0,0,206,57,10,0,0,0
0650070,N MANKATO PRECINCT 1-A ,0,1,24B,5,7700,0,0,N,O,NORTH MANKATO CITY            ,5,C,N,065,0070,52,520070,591,76,490,19,0,0,509,191,271,35,4,5,1,0,4,0,209,265,20,11,2,2,2,5,1,232,258,0,10,0,10,195,304,0,0,0,198,299,0,0,0,0
0650075,N MANKATO PRECINCT 1-B ,0,1,24B,5,7700,0,0,N,O,NORTH MANKATO CITY            ,5,C,N,065,0075,52,520075,742,159,596,33,0,0,629,264,310,45,1,6,1,1,4,0,249,306,48,20,3,4,4,9,1,299,297,0,23,0,23,248,367,0,0,0,263,349,0,0,0,0
0650080,N MANKATO PRECINCT 2-A ,2,1,24B,5,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0080,52,520080,683,77,559,37,0,0,596,261,284,36,0,10,0,1,9,0,239,307,35,11,2,3,2,4,1,288,284,0,13,0,13,250,336,0,0,0,275,311,0,0,0,0
0650085,N MANKATO PRECINCT 2-B ,0,1,24B,5,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0085,52,520085,701,138,601,28,0,0,629,250,332,34,1,9,1,0,8,0,246,325,30,17,1,6,2,8,1,278,318,0,16,0,16,219,389,0,0,0,275,335,0,0,0,0
0650090,N MANKATO PRECINCT 3-A ,0,1,24B,3,7700,0,0,N,O,NORTH MANKATO CITY            ,5,C,N,065,0090,52,520090,890,131,746,50,0,0,796,413,335,33,0,8,2,1,5,0,374,365,47,4,0,1,2,1,1,472,300,0,12,0,12,356,429,0,0,0,426,358,0,0,0,0
0650095,N MANKATO PRECINCT 3-B ,0,1,24B,3,7700,0,0,N,O,NORTH MANKATO CITY            ,5,C,N,065,0095,52,520095,1102,327,1022,37,0,0,1059,547,462,33,0,9,1,1,7,0,487,471,59,24,4,7,1,12,1,598,423,0,9,0,9,452,567,0,0,0,568,456,0,0,0,0
0650100,N MANKATO PRECINCT 4-A ,0,1,24B,3,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0100,52,520100,711,85,610,45,0,0,655,359,262,26,3,3,1,0,1,1,345,252,44,8,1,3,1,3,1,413,226,0,9,0,9,326,317,0,0,0,370,271,0,0,0,0
